scenario,seed,method,mc_revenue,analytical_R
4,3,random_valid,103771.4676,95854.3056
4,3,perimeter_only,102995.8023,95278.6455
4,3,popularity_rank,102773.9062,94930.7696
4,3,greedy_swap,102931.9472,95625.9620
4,3,oracle,102831.4454,97149.2854
4,3,random_search,104429.7718,95115.8508
4,3,simulated_annealing,103281.2198,94607.7632
4,3,GA,104052.2041,95957.0243
4,4,random_valid,103564.9793,95854.3056
4,4,perimeter_only,101652.1761,95278.6455
4,4,popularity_rank,102176.2111,94930.7696
4,4,greedy_swap,102465.9664,95625.9620
4,4,oracle,102385.3687,97149.2854
4,4,random_search,103609.5060,95322.2882
4,4,simulated_annealing,103420.6816,94658.5065
4,4,GA,104383.3221,96295.4936
4,5,random_valid,103302.0827,95854.3056
4,5,perimeter_only,101490.4192,95278.6455
4,5,popularity_rank,102256.1176,94930.7696
4,5,greedy_swap,102333.3841,95625.9620
4,5,oracle,102294.4706,97149.2854
4,5,random_search,104069.9921,94982.1298
4,5,simulated_annealing,103187.5983,94428.8924
4,5,GA,104258.1515,95659.9989
4,6,random_valid,102957.9732,95854.3056
4,6,perimeter_only,102375.4599,95278.6455
4,6,popularity_rank,102206.3926,94930.7696
4,6,greedy_swap,102412.7005,95625.9620
4,6,oracle,103087.1813,97149.2854
4,6,random_search,103524.5167,95095.4255
4,6,simulated_annealing,103419.6799,94949.1981
4,6,GA,103515.8188,96174.7429
4,7,random_valid,103052.5980,95854.3056
4,7,perimeter_only,102069.0788,95278.6455
4,7,popularity_rank,101955.4216,94930.7696
4,7,greedy_swap,102415.8652,95625.9620
4,7,oracle,102473.3796,97149.2854
4,7,random_search,103371.6254,96282.7452
4,7,simulated_annealing,102336.3716,95375.7251
4,7,GA,103552.5193,95339.2571
4,8,random_valid,103573.0215,95854.3056
4,8,perimeter_only,102015.5256,95278.6455
4,8,popularity_rank,103250.8107,94930.7696
4,8,greedy_swap,102829.1117,95625.9620
4,8,oracle,103187.4246,97149.2854
4,8,random_search,104011.2276,95719.7797
4,8,simulated_annealing,103925.5007,95195.3452
4,8,GA,104026.7167,95858.0885
4,9,random_valid,104007.8176,95854.3056
4,9,perimeter_only,101946.2464,95278.6455
4,9,popularity_rank,102335.3616,94930.7696
4,9,greedy_swap,102428.6520,95625.9620
4,9,oracle,102011.6956,97149.2854
4,9,random_search,104540.1895,95214.8132
4,9,simulated_annealing,104065.7538,95192.4437
4,9,GA,104582.0861,95855.1244
5,0,random_valid,89915.8842,78033.0108
5,0,perimeter_only,89596.6954,78185.4575
5,0,popularity_rank,89641.1134,78283.5859
5,0,greedy_swap,89564.1651,78629.3359
5,0,oracle,91163.8933,79617.0677
5,0,random_search,91293.6646,78615.4510
5,0,simulated_annealing,89903.5517,78566.9976
5,0,GA,90673.8989,79078.4010
5,1,random_valid,91231.4287,78033.0108
5,1,perimeter_only,90257.8914,78185.4575
5,1,popularity_rank,90925.2299,78283.5859
5,1,greedy_swap,90510.4640,78629.3359
5,1,oracle,92204.3680,79617.0677
5,1,random_search,92605.5780,79024.5328
5,1,simulated_annealing,91967.4942,78033.3149
5,1,GA,92575.4394,78314.7609
5,2,random_valid,90461.9505,78033.0108
5,2,perimeter_only,89547.6395,78185.4575
5,2,popularity_rank,90153.5105,78283.5859
5,2,greedy_swap,89882.7865,78629.3359
5,2,oracle,91187.7863,79617.0677
5,2,random_search,91350.3459,78517.5354
5,2,simulated_annealing,91048.4195,78408.6646
5,2,GA,91956.6227,78664.1909
5,3,random_valid,90796.2625,78033.0108
5,3,perimeter_only,89788.8805,78185.4575
5,3,popularity_rank,90498.3528,78283.5859
5,3,greedy_swap,90870.0750,78629.3359
5,3,oracle,91556.9665,79617.0677
5,3,random_search,91403.9894,78530.2909
5,3,simulated_annealing,91695.4086,78592.0273
5,3,GA,92008.3307,78620.8567
5,4,random_valid,90648.7891,78033.0108
5,4,perimeter_only,90120.8480,78185.4575
5,4,popularity_rank,90464.1934,78283.5859
5,4,greedy_swap,90481.8421,78629.3359
5,4,oracle,91061.3652,79617.0677
5,4,random_search,91167.0823,78262.4598
5,4,simulated_annealing,91562.2287,78578.2148
5,4,GA,91774.5994,79180.7310
5,5,random_valid,90386.7235,78033.0108
5,5,perimeter_only,89321.2021,78185.4575
5,5,popularity_rank,89829.2598,78283.5859
5,5,greedy_swap,89739.1722,78629.3359
5,5,oracle,91461.3292,79617.0677
5,5,random_search,90853.6335,78319.6567
5,5,simulated_annealing,90489.8639,78207.1106
5,5,GA,91180.6415,79439.9803
5,6,random_valid,89780.1986,78033.0108
5,6,perimeter_only,89062.8449,78185.4575
5,6,popularity_rank,89355.8389,78283.5859
5,6,greedy_swap,89392.9703,78629.3359
5,6,oracle,90056.2306,79617.0677
5,6,random_search,90447.6090,78052.7759
5,6,simulated_annealing,90444.8559,77955.4864
5,6,GA,90497.4951,78381.8005
5,7,random_valid,91948.7383,78033.0108
5,7,perimeter_only,90958.6015,78185.4575
5,7,popularity_rank,90448.2261,78283.5859
5,7,greedy_swap,90780.9145,78629.3359
5,7,oracle,91733.5007,79617.0677
5,7,random_search,91675.0365,78371.0175
5,7,simulated_annealing,91664.1844,77952.7747
5,7,GA,91716.8523,79031.9242
5,8,random_valid,90728.7992,78033.0108
5,8,perimeter_only,89798.1407,78185.4575
5,8,popularity_rank,90412.9422,78283.5859
5,8,greedy_swap,89793.8246,78629.3359
5,8,oracle,91531.8474,79617.0677
5,8,random_search,91513.1069,78757.9985
5,8,simulated_annealing,90681.5052,78251.4690
5,8,GA,91495.5838,79312.9944
5,9,random_valid,91399.7144,78033.0108
5,9,perimeter_only,90029.5237,78185.4575
5,9,popularity_rank,90672.7708,78283.5859
5,9,greedy_swap,90558.7805,78629.3359
5,9,oracle,92085.6901,79617.0677
5,9,random_search,91932.4365,78635.5846
5,9,simulated_annealing,91608.5081,78370.2878
5,9,GA,92335.6910,79362.4261
6,0,random_valid,84361.2075,70189.0615
6,0,perimeter_only,84353.3276,69012.1935
6,0,popularity_rank,84715.3521,70358.2510
6,0,greedy_swap,84751.5784,70683.7555
6,0,oracle,84927.1997,72152.0973
6,0,random_search,85571.3975,70581.7487
6,0,simulated_annealing,85476.1396,70894.6017
6,0,GA,86205.9244,70924.8007
6,1,random_valid,85137.6684,70189.0615
6,1,perimeter_only,84694.0608,69012.1935
6,1,popularity_rank,84678.6888,70358.2510
6,1,greedy_swap,84722.5499,70683.7555
6,1,oracle,85632.3083,72152.0973
6,1,random_search,85923.2787,70978.0951
6,1,simulated_annealing,85332.9340,71100.6457
