scenario,search,setting,seed,heldout_fitness
8,ga,0.18|30|25,0,82987.969786
8,ga,0.18|30|25,1,83028.569170
8,ga,0.18|30|25,2,82985.592048
8,ga,0.18|45|15,0,82990.544120
8,ga,0.18|45|15,1,82962.617182
8,ga,0.18|45|15,2,82979.734535
8,ga,0.1|20|40,0,83023.082303
8,ga,0.1|20|40,1,83002.070435
8,ga,0.1|20|40,2,82984.124612
8,ga,0.1|30|25,0,83024.406885
8,ga,0.1|30|25,1,82989.548274
8,ga,0.1|30|25,2,82947.331982
8,ga,0.1|45|15,0,82959.429158
8,ga,0.1|45|15,1,83013.583619
8,ga,0.1|45|15,2,82952.778714
8,ga,0.3|20|40,0,82977.982363
8,ga,0.3|20|40,1,83001.932331
8,ga,0.3|20|40,2,82992.929980
8,ga,0.3|30|25,0,83000.215803
8,ga,0.3|30|25,1,82988.598682
8,ga,0.3|30|25,2,82954.776526
8,ga,0.3|45|15,0,82958.206077
8,ga,0.3|45|15,1,82977.096112
8,ga,0.3|45|15,2,82932.790356
8,sa,0.1|0.001|0.8,0,82917.728817
8,sa,0.1|0.001|0.8,1,82983.662310
8,sa,0.1|0.001|0.8,2,82986.831607
8,sa,0.1|0.01|0.8,0,83016.166006
8,sa,0.1|0.01|0.8,1,83015.380516
8,sa,0.1|0.01|0.8,2,82956.617983
8,sa,0.1|0.1|0.8,0,82971.969334
8,sa,0.1|0.1|0.8,1,82968.851474
8,sa,0.1|0.1|0.8,2,82876.388044
8,sa,0.25|0.001|0.8,0,82949.317152
8,sa,0.25|0.001|0.8,1,82975.965943
8,sa,0.25|0.001|0.8,2,83036.281761
8,sa,0.25|0.01|0.5,0,83006.299969
8,sa,0.25|0.01|0.5,1,82958.643173
8,sa,0.25|0.01|0.5,2,83041.040766
8,sa,0.25|0.01|0.8,0,83014.126670
8,sa,0.25|0.01|0.8,1,82992.783940
8,sa,0.25|0.01|0.8,2,83034.389101
8,sa,0.25|0.01|0.95,0,83011.025018
8,sa,0.25|0.01|0.95,1,82942.167316
8,sa,0.25|0.01|0.95,2,82990.519828
8,sa,0.25|0.1|0.8,0,82960.191073
8,sa,0.25|0.1|0.8,1,82971.326311
8,sa,0.25|0.1|0.8,2,82904.615592
8,sa,0.5|0.001|0.8,0,83061.043926
8,sa,0.5|0.001|0.8,1,82975.203324
8,sa,0.5|0.001|0.8,2,82993.327173
8,sa,0.5|0.01|0.8,0,83057.329719
8,sa,0.5|0.01|0.8,1,82990.536245
8,sa,0.5|0.01|0.8,2,83029.259463
8,sa,0.5|0.1|0.8,0,82902.364982
8,sa,0.5|0.1|0.8,1,82841.205521
8,sa,0.5|0.1|0.8,2,82948.532179
9,ga,0.18|20|40,0,69764.648318
9,ga,0.18|20|40,1,69750.195490
9,ga,0.18|20|40,2,69772.915264
9,ga,0.18|30|25,0,69760.443751
9,ga,0.18|30|25,1,69728.866050
9,ga,0.18|30|25,2,69804.688024
9,ga,0.18|45|15,0,69786.010002
9,ga,0.18|45|15,1,69721.703129
9,ga,0.18|45|15,2,69759.267001
9,ga,0.1|20|40,0,69723.606920
9,ga,0.1|20|40,1,69774.457217
9,ga,0.1|20|40,2,69802.493909
9,ga,0.1|30|25,0,69736.316526
9,ga,0.1|30|25,1,69802.464323
9,ga,0.1|30|25,2,69820.772720
9,ga,0.1|45|15,0,69768.878592
9,ga,0.1|45|15,1,69725.751309
9,ga,0.1|45|15,2,69753.288001
9,ga,0.3|20|40,0,69741.266906
9,ga,0.3|20|40,1,69751.116257
9,ga,0.3|20|40,2,69793.547200
9,ga,0.3|30|25,0,69793.980543
9,ga,0.3|30|25,1,69788.865694
9,ga,0.3|30|25,2,69773.082044
9,ga,0.3|45|15,0,69778.013513
9,ga,0.3|45|15,1,69767.756476
9,ga,0.3|45|15,2,69751.396844
9,sa,0.1|0.001|0.8,0,69783.047611
9,sa,0.1|0.001|0.8,1,69810.794515
9,sa,0.1|0.001|0.8,2,69654.739435
9,sa,0.1|0.01|0.8,0,69808.129442
9,sa,0.1|0.01|0.8,1,69763.790112
9,sa,0.1|0.01|0.8,2,69700.399268
9,sa,0.1|0.1|0.8,0,69798.139518
9,sa,0.1|0.1|0.8,1,69789.608774
9,sa,0.1|0.1|0.8,2,69693.818574
9,sa,0.25|0.001|0.8,0,69694.816807
9,sa,0.25|0.001|0.8,1,69782.883795
9,sa,0.25|0.001|0.8,2,69745.160783
9,sa,0.25|0.01|0.5,0,69811.826542
9,sa,0.25|0.01|0.5,1,69740.591609
9,sa,0.25|0.01|0.5,2,69807.013140
9,sa,0.25|0.01|0.8,0,69699.680957
9,sa,0.25|0.01|0.8,1,69764.488764
9,sa,0.25|0.01|0.8,2,69760.090084
9,sa,0.25|0.01|0.95,0,69764.003537
9,sa,0.25|0.01|0.95,1,69809.155350
9,sa,0.25|0.01|0.95,2,69763.561200
9,sa,0.25|0.1|0.8,0,69714.408900
9,sa,0.25|0.1|0.8,1,69818.516254
9,sa,0.25|0.1|0.8,2,69741.836856
9,sa,0.5|0.001|0.8,0,69787.275266
9,sa,0.5|0.001|0.8,1,69786.504211
9,sa,0.5|0.001|0.8,2,69766.661815
9,sa,0.5|0.01|0.8,0,69807.707546
9,sa,0.5|0.01|0.8,1,69820.204281
9,sa,0.5|0.01|0.8,2,69770.898920
9,sa,0.5|0.1|0.8,0,69727.583679
9,sa,0.5|0.1|0.8,1,69814.499672
