multiplier,search_seed,layout,replicate,mc_seed,revenue,cf_revenue
1,1,baseline,15,1000015,767540.7954,769612.7303
1,1,baseline,16,1000016,769062.4945,769612.7303
1,1,baseline,17,1000017,771641.9975,769612.7303
1,1,baseline,18,1000018,770721.0697,769612.7303
1,1,baseline,19,1000019,770123.7668,769612.7303
1,1,baseline,20,1000020,770594.2094,769612.7303
1,1,baseline,21,1000021,769989.2714,769612.7303
1,1,baseline,22,1000022,771025.3383,769612.7303
1,1,baseline,23,1000023,767732.1992,769612.7303
1,1,baseline,24,1000024,768412.2545,769612.7303
1,1,baseline,25,1000025,767752.3726,769612.7303
1,1,baseline,26,1000026,768435.6141,769612.7303
1,1,baseline,27,1000027,770195.9043,769612.7303
1,1,baseline,28,1000028,771020.0913,769612.7303
1,1,baseline,29,1000029,768244.7427,769612.7303
1,1,optimized,0,1000000,783697.4127,782749.5299
1,1,optimized,1,1000001,783577.3823,782749.5299
1,1,optimized,2,1000002,782629.8955,782749.5299
1,1,optimized,3,1000003,780390.5205,782749.5299
1,1,optimized,4,1000004,782043.1493,782749.5299
1,1,optimized,5,1000005,781360.4798,782749.5299
1,1,optimized,6,1000006,782635.4901,782749.5299
1,1,optimized,7,1000007,782608.5843,782749.5299
1,1,optimized,8,1000008,784566.1157,782749.5299
1,1,optimized,9,1000009,784317.6461,782749.5299
1,1,optimized,10,1000010,783518.9959,782749.5299
1,1,optimized,11,1000011,783646.1481,782749.5299
1,1,optimized,12,1000012,780103.8552,782749.5299
1,1,optimized,13,1000013,784613.5563,782749.5299
1,1,optimized,14,1000014,781835.1244,782749.5299
1,1,optimized,15,1000015,780580.6907,782749.5299
1,1,optimized,16,1000016,782190.2060,782749.5299
1,1,optimized,17,1000017,784814.0449,782749.5299
1,1,optimized,18,1000018,783876.4313,782749.5299
1,1,optimized,19,1000019,783273.5281,782749.5299
1,1,optimized,20,1000020,783757.6499,782749.5299
1,1,optimized,21,1000021,783135.6162,782749.5299
1,1,optimized,22,1000022,784258.9993,782749.5299
1,1,optimized,23,1000023,780855.2627,782749.5299
1,1,optimized,24,1000024,781533.9595,782749.5299
1,1,optimized,25,1000025,780883.8615,782749.5299
1,1,optimized,26,1000026,781589.2399,782749.5299
1,1,optimized,27,1000027,783345.5643,782749.5299
1,1,optimized,28,1000028,784190.7882,782749.5299
1,1,optimized,29,1000029,781361.7919,782749.5299
1,1,rs,0,1000000,780640.7243,779681.6638
1,1,rs,1,1000001,780510.2225,779681.6638
1,1,rs,2,1000002,779561.5109,779681.6638
1,1,rs,3,1000003,777323.4951,779681.6638
1,1,rs,4,1000004,778981.2153,779681.6638
1,1,rs,5,1000005,778270.0325,779681.6638
1,1,rs,6,1000006,779523.8878,779681.6638
1,1,rs,7,1000007,779529.9123,779681.6638
1,1,rs,8,1000008,781535.3970,779681.6638
1,1,rs,9,1000009,781257.2985,779681.6638
1,1,rs,10,1000010,780441.9343,779681.6638
1,1,rs,11,1000011,780582.6539,779681.6638
1,1,rs,12,1000012,777029.8858,779681.6638
1,1,rs,13,1000013,781531.7231,779681.6638
1,1,rs,14,1000014,778785.5086,779681.6638
1,1,rs,15,1000015,777505.6367,779681.6638
1,1,rs,16,1000016,779121.4284,779681.6638
1,1,rs,17,1000017,781729.7785,779681.6638
1,1,rs,18,1000018,780778.2455,779681.6638
1,1,rs,19,1000019,780206.5021,779681.6638
1,1,rs,20,1000020,780706.4262,779681.6638
1,1,rs,21,1000021,780107.6678,779681.6638
1,1,rs,22,1000022,781182.5469,779681.6638
1,1,rs,23,1000023,777759.1502,779681.6638
1,1,rs,24,1000024,778478.0714,779681.6638
1,1,rs,25,1000025,777849.4823,779681.6638
1,1,rs,26,1000026,778510.4136,779681.6638
1,1,rs,27,1000027,780307.1980,779681.6638
1,1,rs,28,1000028,781132.1922,779681.6638
1,1,rs,29,1000029,778302.9477,779681.6638
1,1,sa,0,1000000,783849.8304,782897.6631
1,1,sa,1,1000001,783716.8980,782897.6631
1,1,sa,2,1000002,782788.3344,782897.6631
1,1,sa,3,1000003,780534.7332,782897.6631
1,1,sa,4,1000004,782193.0455,782897.6631
1,1,sa,5,1000005,781503.7787,782897.6631
1,1,sa,6,1000006,782782.0748,782897.6631
1,1,sa,7,1000007,782764.8354,782897.6631
1,1,sa,8,1000008,784708.2426,782897.6631
1,1,sa,9,1000009,784462.2981,782897.6631
1,1,sa,10,1000010,783670.3487,782897.6631
1,1,sa,11,1000011,783794.7049,782897.6631
1,1,sa,12,1000012,780256.5292,782897.6631
1,1,sa,13,1000013,784778.3440,782897.6631
1,1,sa,14,1000014,781987.2966,782897.6631
1,1,sa,15,1000015,780729.5197,782897.6631
1,1,sa,16,1000016,782334.9837,782897.6631
1,1,sa,17,1000017,784961.0204,782897.6631
1,1,sa,18,1000018,784026.1742,782897.6631
1,1,sa,19,1000019,783428.5993,782897.6631
1,1,sa,20,1000020,783915.7213,782897.6631
1,1,sa,21,1000021,783280.0572,782897.6631
1,1,sa,22,1000022,784405.2792,782897.6631
1,1,sa,23,1000023,780995.3036,782897.6631
1,1,sa,24,1000024,781682.5351,782897.6631
1,1,sa,25,1000025,781036.1397,782897.6631
1,1,sa,26,1000026,781736.0891,782897.6631
1,1,sa,27,1000027,783503.0482,782897.6631
1,1,sa,28,1000028,784344.5856,782897.6631
1,1,sa,29,1000029,781511.6545,782897.6631
1,1,sa_k,0,1000000,787064.7489,786135.8376
1,1,sa_k,1,1000001,786973.2920,786135.8376
1,1,sa_k,2,1000002,786042.4352,786135.8376
1,1,sa_k,3,1000003,783778.8014,786135.8376
1,1,sa_k,4,1000004,785399.1799,786135.8376
1,1,sa_k,5,1000005,784750.8974,786135.8376
1,1,sa_k,6,1000006,786029.9083,786135.8376
1,1,sa_k,7,1000007,785956.0098,786135.8376
1,1,sa_k,8,1000008,787923.8148,786135.8376
1,1,sa_k,9,1000009,787694.1786,786135.8376
1,1,sa_k,10,1000010,786913.6933,786135.8376
1,1,sa_k,11,1000011,787047.5269,786135.8376
1,1,sa_k,12,1000012,783477.2076,786135.8376
1,1,sa_k,13,1000013,788007.3344,786135.8376
1,1,sa_k,14,1000014,785213.5100,786135.8376
1,1,sa_k,15,1000015,783962.2888,786135.8376
1,1,sa_k,16,1000016,785614.2202,786135.8376
1,1,sa_k,17,1000017,788170.5796,786135.8376
1,1,sa_k,18,1000018,787276.2073,786135.8376
1,1,sa_k,19,1000019,786665.8169,786135.8376
1,1,sa_k,20,1000020,787137.6128,786135.8376
1,1,sa_k,21,1000021,786525.5133,786135.8376
