scenario,seed,method,mc_revenue,cf_revenue,analytical_R
2,5,simulated_annealing_popstart,68547.9776,68496.9552,60700.2282
2,5,GA,68639.1626,68587.7929,60801.1989
2,6,random_valid,67924.9394,67888.5836,59752.5867
2,6,perimeter_only,68080.0926,68043.2788,60863.1189
2,6,popularity_rank,67807.5765,67772.7767,60344.5932
2,6,greedy_swap,68040.2423,68003.5797,60555.8134
2,6,oracle,68284.6533,68250.9502,61168.5389
2,6,random_search,68330.5868,68296.3677,60729.6849
2,6,simulated_annealing,68523.4538,68489.9654,59777.8868
2,6,simulated_annealing_popstart,68533.4082,68500.3335,60713.7750
2,6,GA,68531.7539,68498.2404,59666.5481
2,7,random_valid,67884.6206,67888.5836,59752.5867
2,7,perimeter_only,68036.7975,68043.2788,60863.1189
2,7,popularity_rank,67770.0012,67772.7767,60344.5932
2,7,greedy_swap,67996.9900,68003.5797,60555.8134
2,7,oracle,68244.9668,68250.9502,61168.5389
2,7,random_search,68197.8185,68204.6733,60766.3313
2,7,simulated_annealing,68490.1715,68496.1945,60226.4228
2,7,simulated_annealing_popstart,68479.3012,68485.3450,60709.6829
2,7,GA,68591.8017,68597.9640,60822.2161
2,8,random_valid,67882.4995,67888.5836,59752.5867
2,8,perimeter_only,68037.9707,68043.2788,60863.1189
2,8,popularity_rank,67766.4468,67772.7767,60344.5932
2,8,greedy_swap,67997.8503,68003.5797,60555.8134
2,8,oracle,68244.0302,68250.9502,61168.5389
2,8,random_search,68271.0056,68277.6301,60925.9848
2,8,simulated_annealing,68520.8501,68527.9605,60295.6313
2,8,simulated_annealing_popstart,68547.9094,68555.4972,60893.4980
2,8,GA,68454.3518,68460.7703,60119.0948
2,9,random_valid,67931.3150,67888.5836,59752.5867
2,9,perimeter_only,68086.9523,68043.2788,60863.1189
2,9,popularity_rank,67813.7749,67772.7767,60344.5932
2,9,greedy_swap,68046.7836,68003.5797,60555.8134
2,9,oracle,68294.9512,68250.9502,61168.5389
2,9,random_search,68225.2538,68181.4950,60647.6877
2,9,simulated_annealing,68477.6626,68433.9087,60157.6285
2,9,simulated_annealing_popstart,68552.3688,68508.0966,60722.5281
2,9,GA,68484.8120,68440.5052,59784.3906
3,0,random_valid,55867.5615,55909.2699,54409.5178
3,0,perimeter_only,55850.5448,55892.1342,54296.7357
3,0,popularity_rank,55788.1760,55829.1757,54522.1601
3,0,greedy_swap,55964.7352,56007.4227,54644.4111
3,0,oracle,56141.6955,56185.1986,55272.3212
3,0,random_search,56240.3763,56284.1720,54519.2273
3,0,simulated_annealing,56457.8053,56502.6999,54335.4668
3,0,simulated_annealing_popstart,56363.2822,56407.5276,54477.1360
3,0,GA,56382.3716,56427.3273,54352.8566
3,1,random_valid,55934.2704,55909.2699,54409.5178
3,1,perimeter_only,55917.2411,55892.1342,54296.7357
3,1,popularity_rank,55854.7509,55829.1757,54522.1601
3,1,greedy_swap,56031.3466,56007.4227,54644.4111
3,1,oracle,56210.8242,56185.1986,55272.3212
3,1,random_search,56256.9029,56231.4698,54368.4278
3,1,simulated_annealing,56414.4441,56389.4137,54354.1071
3,1,simulated_annealing_popstart,56414.5070,56389.5542,54342.7185
3,1,GA,56398.7680,56373.9144,54330.2853
3,2,random_valid,55972.1157,55909.2699,54409.5178
3,2,perimeter_only,55954.1198,55892.1342,54296.7357
3,2,popularity_rank,55891.9368,55829.1757,54522.1601
3,2,greedy_swap,56070.6116,56007.4227,54644.4111
3,2,oracle,56248.3509,56185.1986,55272.3212
3,2,random_search,56326.6491,56262.6779,54483.6081
3,2,simulated_annealing,56611.9434,56549.1603,54322.8350
3,2,simulated_annealing_popstart,56485.6968,56423.6674,54433.0447
3,2,GA,56439.6406,56376.9961,54313.2572
3,3,random_valid,55898.7423,55909.2699,54409.5178
3,3,perimeter_only,55881.6240,55892.1342,54296.7357
3,3,popularity_rank,55818.4143,55829.1757,54522.1601
3,3,greedy_swap,55995.7699,56007.4227,54644.4111
3,3,oracle,56173.8517,56185.1986,55272.3212
3,3,random_search,56278.4092,56288.9112,54627.6905
3,3,simulated_annealing,56354.9444,56364.7221,54417.3064
