search_seed,replicate,mc_seed,baseline_revenue,optimized_revenue,diff,rs_revenue,sa_revenue,diff_rs,diff_sa
5,4,1000004,1027609.5291,1043755.0697,16145.5406,1040059.4843,1042188.6326,3695.5854,1566.4371
5,5,1000005,1026960.4493,1043080.1868,16119.7375,1039372.8154,1041502.2726,3707.3714,1577.9142
5,6,1000006,1029037.9274,1045119.9010,16081.9736,1041394.4053,1043526.1547,3725.4956,1593.7463
5,7,1000007,1029353.4805,1045502.4696,16148.9891,1041735.1065,1043864.7911,3767.3631,1637.6785
5,8,1000008,1031743.2567,1047870.4236,16127.1669,1044155.2737,1046268.5369,3715.1499,1601.8867
5,9,1000009,1031577.8318,1047700.0553,16122.2235,1043965.0772,1046090.6285,3734.9781,1609.4269
5,10,1000010,1030826.4140,1046973.6740,16147.2600,1043259.7759,1045357.1222,3713.8982,1616.5518
5,11,1000011,1030820.4158,1046933.1953,16112.7796,1043172.6546,1045298.4528,3760.5407,1634.7425
5,12,1000012,1025577.5806,1041659.2108,16081.6302,1037977.3980,1040096.9471,3681.8128,1562.2637
5,13,1000013,1032616.0743,1048778.9221,16162.8478,1045039.1978,1047167.5783,3739.7243,1611.3438
5,14,1000014,1028007.2935,1044101.1540,16093.8605,1040382.8000,1042508.0817,3718.3540,1593.0724
5,15,1000015,1026914.6226,1042973.0182,16058.3956,1039254.2661,1041395.9299,3718.7522,1577.0883
5,16,1000016,1028950.6087,1045032.6382,16082.0296,1041358.3526,1043455.2444,3674.2857,1577.3938
5,17,1000017,1031942.7357,1048068.1444,16125.4088,1044344.4883,1046445.7234,3723.6561,1622.4210
5,18,1000018,1031085.6288,1047173.0667,16087.4379,1043505.2900,1045606.0378,3667.7767,1567.0289
5,19,1000019,1029896.2402,1046052.4601,16156.2200,1042326.8903,1044445.9264,3725.5698,1606.5337
5,20,1000020,1030522.7061,1046637.6023,16114.8962,1042894.8601,1045035.3341,3742.7423,1602.2683
5,21,1000021,1029935.2785,1046063.9287,16128.6502,1042332.7428,1044475.4439,3731.1859,1588.4849
5,22,1000022,1031880.2991,1047957.7141,16077.4151,1044222.6920,1046329.6762,3735.0221,1628.0379
5,23,1000023,1027341.8705,1043402.6550,16060.7845,1039744.9171,1041829.4495,3657.7380,1573.2055
5,24,1000024,1027873.9960,1044020.2441,16146.2481,1040262.9055,1042428.0554,3757.3386,1592.1887
5,25,1000025,1026574.0949,1042719.1092,16145.0143,1038998.6062,1041109.2213,3720.5030,1609.8879
5,26,1000026,1027544.5125,1043635.0129,16090.5004,1039970.3114,1042059.5026,3664.7015,1575.5103
5,27,1000027,1030310.6289,1046425.1073,16114.4783,1042742.8259,1044837.1518,3682.2814,1587.9555
