layout,replicate,mc_seed,revenue
transferred|random_search|2,0,1000000,795005.0176
transferred|random_search|2,1,1000001,794875.1685
transferred|random_search|2,2,1000002,793758.6504
transferred|random_search|2,3,1000003,791639.2606
transferred|random_search|2,4,1000004,793144.2958
transferred|random_search|2,5,1000005,792493.2490
transferred|random_search|2,6,1000006,793946.1452
transferred|random_search|2,7,1000007,793753.8610
transferred|random_search|2,8,1000008,795950.2387
transferred|random_search|2,9,1000009,795680.6117
transferred|random_search|2,10,1000010,794930.4102
transferred|random_search|2,11,1000011,795037.7238
transferred|random_search|2,12,1000012,791209.7229
transferred|random_search|2,13,1000013,795977.3874
transferred|random_search|2,14,1000014,793123.9398
transferred|random_search|2,15,1000015,791862.7061
transferred|random_search|2,16,1000016,793489.3334
transferred|random_search|2,17,1000017,796074.8321
transferred|random_search|2,18,1000018,795229.3183
transferred|random_search|2,19,1000019,794749.6442
transferred|random_search|2,20,1000020,795231.9274
transferred|random_search|2,21,1000021,794294.5365
transferred|random_search|2,22,1000022,795600.3253
transferred|random_search|2,23,1000023,792251.5964
transferred|random_search|2,24,1000024,792940.5824
transferred|random_search|2,25,1000025,792174.0936
transferred|random_search|2,26,1000026,792733.8537
transferred|random_search|2,27,1000027,794791.4827
transferred|random_search|2,28,1000028,795561.0415
transferred|random_search|2,29,1000029,792571.2968
hindsight|random_search|2,0,1000000,795005.0176
hindsight|random_search|2,1,1000001,794875.1685
hindsight|random_search|2,2,1000002,793758.6504
hindsight|random_search|2,3,1000003,791639.2606
hindsight|random_search|2,4,1000004,793144.2958
hindsight|random_search|2,5,1000005,792493.2490
hindsight|random_search|2,6,1000006,793946.1452
hindsight|random_search|2,7,1000007,793753.8610
hindsight|random_search|2,8,1000008,795950.2387
hindsight|random_search|2,9,1000009,795680.6117
hindsight|random_search|2,10,1000010,794930.4102
hindsight|random_search|2,11,1000011,795037.7238
hindsight|random_search|2,12,1000012,791209.7229
hindsight|random_search|2,13,1000013,795977.3874
hindsight|random_search|2,14,1000014,793123.9398
hindsight|random_search|2,15,1000015,791862.7061
hindsight|random_search|2,16,1000016,793489.3334
hindsight|random_search|2,17,1000017,796074.8321
hindsight|random_search|2,18,1000018,795229.3183
hindsight|random_search|2,19,1000019,794749.6442
hindsight|random_search|2,20,1000020,795231.9274
hindsight|random_search|2,21,1000021,794294.5365
hindsight|random_search|2,22,1000022,795600.3253
hindsight|random_search|2,23,1000023,792251.5964
hindsight|random_search|2,24,1000024,792940.5824
hindsight|random_search|2,25,1000025,792174.0936
hindsight|random_search|2,26,1000026,792733.8537
hindsight|random_search|2,27,1000027,794791.4827
hindsight|random_search|2,28,1000028,795561.0415
hindsight|random_search|2,29,1000029,792571.2968
transferred|simulated_annealing|2,0,1000000,790757.0725
transferred|simulated_annealing|2,1,1000001,790627.9028
transferred|simulated_annealing|2,2,1000002,789467.6475
transferred|simulated_annealing|2,3,1000003,787396.5894
