replicate,n_invoices,n_absent_fixtures,anchor_score,stocked_invoice_share,whole_level_asbuilt,whole_level_ga,whole_level_rs,whole_level_sa,whole_lift,whole_pct_lift,stocked_level_asbuilt,stocked_level_ga,stocked_level_rs,stocked_level_sa,stocked_lift,stocked_pct_lift,whole_ga_minus_rs_gbp,whole_ga_minus_rs_pct,whole_ga_minus_sa_gbp,whole_ga_minus_sa_pct,stocked_ga_minus_rs_gbp,stocked_ga_minus_rs_pct,stocked_ga_minus_sa_gbp,stocked_ga_minus_sa_pct
22,41829,0,0.4364275106,0.786320,875913.309948,890939.855152,891213.148233,888544.851918,15026.545205,1.715529,17316.537983,17613.608182,17619.011102,17566.259701,297.070198,1.715529,-273.293081,-0.030665,2395.003235,0.269542,-5.402921,-0.030665,47.348481,0.269542
23,38703,0,0.4377502980,0.791205,808515.441620,823565.798505,821198.583299,819637.185435,15050.356885,1.861480,16533.474324,16841.241716,16792.834116,16760.904817,307.767392,1.861480,2367.215206,0.288263,3928.613070,0.479311,48.407600,0.288263,80.336899,0.479311
24,40172,0,0.4389306354,0.785771,789676.578407,804225.159866,801367.245143,800434.316186,14548.581459,1.842347,16764.053167,17072.905171,17012.234466,16992.429307,308.852003,1.842347,2857.914723,0.356630,3790.843680,0.473598,60.670705,0.356630,80.475864,0.473598
25,37877,0,0.4257669887,0.796763,777637.297230,788433.045341,787242.854483,785769.064463,10795.748111,1.388276,16441.809332,16670.066944,16644.902395,16613.741629,228.257611,1.388276,1190.190858,0.151185,2663.980878,0.339028,25.164548,0.151185,56.325315,0.339028
26,40510,0,0.4254821199,0.790941,773054.267790,784040.772934,782294.338284,781648.095027,10986.505144,1.421182,17312.700533,17558.745450,17519.633707,17505.160964,246.044917,1.421182,1746.434650,0.223245,2392.677908,0.306107,39.111743,0.223245,53.584487,0.306107
27,40194,0,0.4248611945,0.795094,783294.212066,794403.026355,792954.770402,791541.861037,11108.814289,1.418217,17596.192892,17845.745150,17813.211026,17781.470939,249.552258,1.418217,1448.255953,0.182640,2861.165317,0.361467,32.534124,0.182640,64.274210,0.361467
28,38346,0,0.4368086547,0.794607,749403.212256,763013.804775,761059.164306,759459.189778,13610.592519,1.816191,16725.834290,17029.607360,16985.981990,16950.272364,303.773071,1.816191,1954.640469,0.256832,3554.614997,0.468046,43.625370,0.256832,79.334997,0.468046
29,38688,0,0.4398496722,0.788617,730405.079931,743137.023336,740665.839675,739765.243727,12731.943405,1.743135,16183.461990,16465.561510,16410.807911,16390.853559,282.099520,1.743135,2471.183661,0.333644,3371.779609,0.455790,54.753599,0.333644,74.707951,0.455790
30,37586,0,0.4259708449,0.795615,715005.567383,725049.156381,723955.409578,722489.389685,10043.588998,1.404687,16406.959815,16637.426218,16612.328427,16578.688228,230.466403,1.404687,1093.746803,0.151079,2559.766696,0.354298,25.097790,0.151079,58.737989,0.354298
31,38539,0,0.4283642176,0.785672,744442.970869,759482.655359,759115.138426,756439.644676,15039.684490,2.020260,16784.318115,17123.405001,17115.118912,17054.796846,339.086886,2.020260,367.516933,0.048414,3043.010683,0.402281,8.286090,0.048414,68.608156,0.402281
32,38624,0,0.4242224705,0.798131,733484.496449,744299.606747,743380.592719,741453.555894,10815.110298,1.474484,16871.998496,17120.773386,17099.633739,17055.307018,248.774890,1.474484,919.014028,0.123626,2846.050853,0.383847,21.139647,0.123626,65.466368,0.383847
33,40904,0,0.4395274471,0.799164,825085.826105,839915.079824,837182.232176,835693.658247,14829.253719,1.797298,17691.972721,18009.950250,17951.350932,17919.432060,317.977529,1.797298,2732.847648,0.326434,4221.421576,0.505140,58.599317,0.326434,90.518190,0.505140
34,39030,0,0.4257078726,0.792775,727899.424750,740670.082726,744646.283394,735544.401806,12770.657976,1.754454,16742.090436,17035.822652,17127.277472,16917.929148,293.732216,1.754454,-3976.200668,-0.533972,5125.680920,0.696855,-91.454820,-0.533972,117.893504,0.696855
35,40893,0,0.4410583936,0.790037,823557.516500,837975.208835,835818.504991,833753.217178,14417.692335,1.750660,17368.389930,17672.451392,17626.967655,17583.411834,304.061462,1.750660,2156.703845,0.258035,4221.991658,0.506384,45.483737,0.258035,89.039558,0.506384
36,40345,0,0.4378034511,0.790780,816632.891556,831817.222205,829982.437293,827900.373203,15184.330648,1.859383,17078.031043,17395.576996,17357.206617,17313.664953,317.545953,1.859383,1834.784911,0.221063,3916.849002,0.473106,38.370379,0.221063,81.912043,0.473106
37,39484,0,0.4245013561,0.793233,758337.063451,768914.796629,768610.317452,766418.030344,10577.733178,1.394859,17133.115269,17372.098079,17365.218978,17315.688618,238.982809,1.394859,304.479177,0.039614,2496.766285,0.325771,6.879100,0.039614,56.409460,0.325771
